ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
25752845210,pl setelan rok panjang dan blouse + gamis outer,"57,0RB",2,nasution09n,80%,Rp45.600,https://shopee.co.id/product/242389474/25752845210,https://s.shopee.co.id/4LGumG8mfA
57461797844,Kaylaa Dress Gamis Brukat Terlaris 2026 Mewah Model Terbaru Tillee Mix Brukat Aplikasi Payet Mutiara,"89,5RB",0,ARK_OUTLETTHRIFT416,80%,Rp71.600,https://shopee.co.id/product/1850126747/57461797844,https://s.shopee.co.id/4VaKyZ89KD
51611794880,VANYA DRESS / GAMIS PUTIH / DRESS CERUTY MIX PAYET FULL FURING / GAMIS KONDANGANBUSUI FRIENDLY,"89,5RB",0,ARK_OUTLETTHRIFT416,80%,Rp71.600,https://shopee.co.id/product/1850126747/51611794880,https://s.shopee.co.id/40e4NeA3L8
55211801385,Gamis Dress Muslim Wanita Terbaru Busui Jumbo Size S 3XL Shirin Zein Thalia,"89,5RB",0,ARK_OUTLETTHRIFT416,80%,Rp71.600,https://shopee.co.id/product/1850126747/55211801385,https://s.shopee.co.id/4AxUZx9Q0B
